paisagem_ano;ano;padrao;estado;areaha_florprima;perc_cobert;nfrag<1ha;nfrag_1-10ha;nfrag_10-100ha;nfrag_100-250ha;nfrag_250-500ha;nfrag_500-1000ha;nfrag>1000ha;nfrag_total;area_borda100;area_borda300;area_borda500;area_borda1000;area_core100;area_core300;area_core500;area_core1000; PAFRAC ; ENN_MN ; ENN_AM ; ENN_SD;ENN_CV;SHAPE_AM;PROX_CV;CORE_CV100;CORE_CV300;CORE_CV500;CORE_CV1000;CAI_AM100;CAI_AM300;CAI_AM500;CAI_AM1000;CLUMPY
22863_2010;2010;esp;PA;159521,04;63,81;78;187;57;14;2;0;11;349;361981311,5;790781160,7;1067131137;1420484802;123834,15;81178,26;53658,58;17472,56;1,3126;159,1491;64,2088;112,3107;70,56948484;13,1164;193,9237;1082,5264;1146,2283;1199,2063;1293,036;80,2931;52,3912;34,8963;11,9078;
22863_2015;2015;esp;PA;148544,73;59,42;86;229;74;16;2;3;15;425;370269797,7;799530408,6;1054224312;1353044989;111606,85;68724,46;43267,52;13240,23;1,3206;162,3084;64,0169;119,3953;73,56076457;12,7901;223,0921;1137,382;1218,7977;1282,1893;1372,9978;77,7068;47,6777;30,2478;9,3501;
23069_1985;1985;esp;RO;204157,94;81,66;14;224;25;1;0;0;1;265;457080351,6;1081049049;1475387538;1888141641;158466,29;96120,3;56697,74;15343,77;1,3988;120,686;60,3456;65,0848;53,92903899;29,9575;102,8327;1620,274;1621,49;1621,7275;1621,7275;80,0724;48,6568;29,0334;7,8189;
23069_1990;1990;esp;RO;150250,14;60,10;55;324;95;6;5;6;15;506;543512686,6;1100447578;1326402828;1463407665;95918,73;40256,62;17647,47;3909,37;1,374;147,1024;62,6947;108,5482;73,79091028;27,5002;158,6991;1669,19;1800,5538;1883,3586;1870,7249;67,5062;28,3991;12,5103;2,7203;
23069_1995;1995;esp;RO;85294,79;34,12;139;476;235;28;33;20;23;954;490934808,2;884355308,4;1004954044;1083569145;62388,45;23094,44;11024,11;0;1,3572;152,7098;72,0572;114,0763;74,70136167;8,918;311,2667;1089,7552;1697,27;2215,0473;2593,5316;59,9861;21,9788;10,4226;2,9255;
23069_2000;2000;esp;RO;80497,22;32,20;169;687;385;49;35;10;12;1347;411563626,2;683668345,1;748663371,4;787763696,4;39394,16;12196,63;5689,71;1720,85;1,3322;177,4789;87,6426;146,0653;82,30009314;5,91;409,9249;1024,4457;1915,3342;2710,9685;3541,1555;53,2063;16,1178;7,4211;2,2605;
23069_2005;2005;esp;RO;57521,57;23,01;240;853;456;54;24;11;6;1644;342617605,6;526593525,6;561927205,7;575145174,7;23277,15;4880,65;1343,18;7,05;1,304;188,2752;105,2669;152,6412;81,07344993;4,3811;377,9115;685,6971;1244,0092;1669,1707;4017,4619;44,9759;9,2164;2,5948;0,0344;
23069_2010;2010;esp;RO;49668,84;19,87;200;762;459;52;22;6;6;1507;298579620;455503157,1;486121150,4;496860091;19850,94;4159,38;1094,76;0;1,2897;207,5177;115,0901;172,3864;83,0706971;3,9251;410,7909;650,0882;1116,7347;1459,6349;3843,1758;44,4327;9,0723;2,5006;0,04;
23069_2015;2015;esp;RO;45849,6;18,34;204;772;466;47;19;6;6;1520;282029652,6;422948207,1;449871821,1;458512047,6;17669,32;3576,7;881,85;0;1,2832;210,4275;118,1013;181,3904;86,20090055;3,7151;387,0775;608,7807;1087,1659;1578,6214;3871,6921;42,9842;8,4293;2,1927;0,0379;
23159_1985;1985;esp;RR;235254,51;94,10;7;5;0;1;0;0;2;15;111812831,2;302690199;483885081,2;892982122;224101,65;205035,26;186951;145956,3;1,2195;102,5099;69,8236;42,9682;41,91614664;4,5837;110,8068;218,8225;221,4463;224,6638;237,114;95,8916;87,6176;80,1471;62,5567;
23159_1990;1990;esp;RR;226563,17;90,63;19;29;1;0;0;0;2;51;131160612,9;347037338,6;541573742,3;953771658,2;213464,8;191899,74;172464,64;131186;1,2558;120,0625;60,0231;71,632;59,66225924;5,8449;87,5417;443,3922;448,3973;454,2475;476,3411;94,8966;85,2048;76,8243;58,3938;
23159_1995;1995;esp;RR;216473,58;86,59;23;47;7;0;0;1;4;82;148428180,9;377552989,5;577667858,1;989353145,4;201721,72;178873,02;158915,11;117538,27;1,2494;137,7113;60,583;85,1157;61,80734624;5,9248;140,2702;567,2772;579,4045;592,4915;637,4789;94,0577;83,2404;74,1953;54,9111;
23159_2000;2000;esp;RR;204042,6;81,62;19;38;7;0;1;0;8;73;166863693;423456305,1;637997273;1062050108;187385,92;161749,61;140314,58;97837,59;1,2717;165,6851;62,0373;115,0624;69,44643785;5,6639;215,2344;530,137;552,6573;576,1256;653,1453;92,7715;79,9267;69,6059;48,4628;
23159_2005;2005;esp;RR;186080,85;74,43;60;154;17;0;3;2;9;245;217885877,8;511773179,9;739658989,7;1137357616;164532,65;135285,38;112513,54;72345,09;1,2818;154,1434;61,1763;102,4952;66,49340809;7,0024;228,0691;977,8261;1038,5827;1100,6857;1279,5308;89,8377;73,5908;61,4615;39,5591;
23159_2010;2010;esp;RR;161910,9;64,76;66;239;35;3;5;2;13;363;255564371,1;589760175,2;830583642,1;1189873237;136421,65;103043,32;78976,18;42923,58;1,2992;174,9396;63,1551;125,5288;71,75550876;6,1841;220,7757;874,8158;960,1064;1050,5636;1324,3507;85,9272;64,6804;49,8572;26,9787;
23159_2015;2015;esp;RR;154905,98;61,96;91;256;37;5;4;2;15;410;284011604;643250493,1;888248343,6;1221566017;126561,57;90698,49;66211,88;32749,37;1,3096;173,7907;63,8313;129,9643;74,78207982;6,4784;230,9017;853,8454;962,1694;1079,2396;1426,4262;83,6182;59,6709;43,8503;21,5273;
23167_1985;1985;esp;RO;230801,59;92,32;11;6;0;0;0;0;2;19;155176713;589942746,3;675894235,7;1212009658;215289,63;188309,59;163270,45;109600,62;1,2719;123,713;60,0091;117,5686;95,0333433;6,7179;77,9224;214,2856;214,9354;215,9151;220,9921;94,0755;82,2335;71,6171;48,0593;
23167_1990;1990;esp;RO;214581,62;85,83;29;59;7;0;0;0;2;97;251793388,9;932657836,6;947160169;1511681482;189406,34;151002,76;119932,26;63413,47;1,3183;111,5653;60,0799;63,3032;56,74094006;16,5786;86,2608;911,2017;913,537;915,2402;916,5151;89,6015;71,3596;56,9871;30,1368;
23167_1995;1995;esp;RO;169014,17;67,61;267;147;34;2;1;2;5;458;336936913,9;1339269458;1071827618;1449935456;135434,65;91437,98;62088,41;24020,62;1,2771;126,5042;64,9103;95,1056;75,1797964;15,8848;124,848;1333,4369;1363,1355;1383,5883;1411,2865;82,2709;55,3886;37,9358;14,7127;
23167_2000;2000;esp;RO;111587,27;44,63;216;181;110;22;12;8;22;571;363305791,7;1530837526;918246436,5;1068563078;75289,29;37389,55;19836,66;4730,96;1,286;133,9046;74,008;121,148;90,47336686;6,864;254,327;666,1927;781,0611;881,6986;1308,4496;70,7538;34,8061;18,6967;4,4513;
23167_2005;2005;esp;RO;71052,8;28,42;455;524;232;42;21;15;13;1302;289188250,9;1401260982;609939015,7;688763945,7;42157,78;19210,27;10089,21;2176,41;1,2639;168,3475;97,9395;142,491;84,64099556;3,7234;396,6184;787,3028;1151,5127;1461,3702;2000,7753;62,8903;28,0805;14,944;3,2264;
